iteration,best_fitness,mean_fitness,std_fitness,elapsed_eval,elapsed_update
200,662756.7165549803,662969.6441385702,972.6591709795347,0.009160212999631767,3.334399980303715e-05
201,662756.0821992722,663363.0382152237,3443.3015378018486,0.00928523899983702,4.240100042807171e-05
202,662756.0821992722,662983.3641141345,1101.8700464811413,0.009252434999780235,3.858499985653907e-05
203,662755.5683381761,663326.2110362124,3351.9144497910975,0.009194006000143418,3.297400007795659e-05
204,662754.8778097277,662860.1238265632,259.43141073013453,0.00927596099973016,3.097700027865358e-05
205,662753.5538062121,663100.3051203847,1992.9703265361593,0.009097393000047305,3.211500006727874e-05
206,662753.5538062121,662839.2536869298,223.8655574200954,0.009241598999778944,3.069700005653431e-05
207,662753.2397421278,662913.4014217302,786.2797354393368,0.009330155000043305,3.0836999940220267e-05
208,662752.4248783436,662958.4149183285,1070.128695470951,0.009130574999744567,3.2064999686554074e-05
209,662752.0719488227,662845.9242718777,467.73676330761435,0.009160923000308685,3.0496999897877686e-05
210,662751.8954858711,663072.5531981003,1995.1156849934578,0.00914292800007388,3.1366000257548876e-05
211,662751.531845271,662777.4305345287,47.71406701022775,0.010104109999701905,2.9958000141050434e-05
212,662751.531845271,662936.8532245884,1087.5929141354193,0.009267961999739782,3.392300004634308e-05
213,662751.4674490766,662816.3748578795,252.77627948072308,0.009288583999932598,3.306400003566523e-05
214,662749.6702624093,662853.0960088676,552.4220682041797,0.009254452000277524,3.084699983446626e-05
215,662749.6702624093,663076.9508728245,2104.5060277040334,0.009231693999936397,3.1645000035496196e-05
216,662749.6702624093,662954.8592315699,1280.5667481007881,0.009200955999858706,3.056700006709434e-05
217,662749.6702624093,662782.7746803039,85.74871599067411,0.00926077299982353,3.097700027865358e-05
218,662749.6702624093,662893.0334894301,882.640937241518,0.009188903999984177,5.932700014454895e-05
219,662749.6702624093,662780.6797322663,80.63752553166736,0.00946272900000622,3.1165999644144904e-05
220,662749.3614671434,662805.1494187252,256.10744534146465,0.009265816000151972,3.3353000162605895e-05
221,662749.071641373,662802.6050976742,253.5659052425592,0.009591319000264775,3.084599984504166e-05
222,662748.753534298,662787.0461819659,129.7338002822091,0.009417164000296907,3.306300004624063e-05
223,662748.5842537625,662787.6698315279,143.1878889501851,0.009246362999874691,3.320400037409854e-05
224,662748.5522062223,662765.636067652,31.008592481484097,0.009266095999919344,3.207500003554742e-05
225,662748.4270423186,662774.9113554342,90.21022064264164,0.009247231000244938,3.1225999919115566e-05
226,662748.4270423186,662773.1999438937,76.07758120643986,0.009182832000078633,3.073699963351828e-05
227,662748.2352555303,662791.0591077292,151.03217253275554,0.009696831999917777,3.0268000045907684e-05
228,662747.8616400759,662763.4489099353,34.95543937441053,0.009098818999973446,3.3323000025120564e-05
229,662747.8616400759,662780.3711133682,128.4203050481923,0.009459782999783783,3.0976999823906226e-05
230,662747.6897286631,662783.665123593,129.5843671731688,0.009167484000045079,3.3753000025171787e-05
231,662747.5869147257,662788.0982925303,207.55022106478413,0.009401665000041248,3.177500002493616e-05
232,662747.5653039765,662771.1045394456,70.23362603860055,0.009480594000251585,3.1365999802801525e-05
233,662747.5195953225,662811.5740055596,325.1865199390575,0.009189902999878541,3.222499981347937e-05
234,662747.5195953225,662780.1589474424,128.74521840950536,0.009258324999791512,3.025800015166169e-05
235,662747.204023902,662791.7228643191,248.54521557965876,0.00920836600016628,3.0487000003631692e-05
236,662747.204023902,662756.8052110391,23.807423307613224,0.009407208999618888,2.9789000109303743e-05
237,662747.153680022,662771.2624409117,116.973896972891,0.009279416000026686,9.141200007434236e-05
238,662747.153680022,662757.2496544949,30.298373638611217,0.009203004000028159,3.2993999866448576e-05
239,662747.153680022,662759.8678732874,48.55724766094987,0.009732791000260477,3.796600003624917e-05
